endTime,artistName,trackName,msPlayed
2020-07-26 19:09,Yeasayer,Silly Me,1068
2020-07-26 19:09,Alina Baraz,Gimme the Wheel (feat. Smino),4596
2020-07-26 19:09,Panic! At The Disco,The Piano Knows Something I Don't Know,1393
2020-07-26 19:13,H.E.R.,Hard Place,271733
2020-07-26 19:24,Kali Uchis,Miami (feat. BIA),243864
2020-07-26 19:49,Tove Lo,Talking Body,238426
2020-07-26 19:53,Doja Cat,Say So,237893
2020-07-26 19:55,Jimi Hendrix,Have You Ever Been (To Electric Ladyland),130040
2020-07-26 20:00,Taylor Swift,The Story Of Us,265666
2020-07-26 20:00,Alina Baraz,Night and Morning,10026
2020-07-26 20:03,Adele,Rumour Has It,191773
2020-07-26 21:29,Amy Turk,Sheik's Theme,61145
2020-07-26 21:38,Mac DeMarco,Chamber Of Reflection,1379
2020-07-26 21:38,Camille,Le Festin,152254
2020-07-26 21:40,Computer Magic,Electronic Fences,2740
2020-07-26 21:40,Modest Mouse,Life Like Weeds,1190
2020-07-26 21:40,Charlotte Dos Santos,Good Sign,24926
2020-07-26 21:40,Eternal Kev,Novelty - Intro,807
2020-07-26 21:41,Computer Magic,Electronic Fences,33609
2020-07-26 21:41,Modest Mouse,Life Like Weeds,3816
2020-07-26 21:44,Khruangbin,Maria También,190999
2020-07-26 21:50,Adele,Rumour Has It,2670
2020-07-26 21:51,Taylor Swift,Our Song,2298
2020-07-26 21:51,Nat King Cole,There Will Never Be Another You,2113
2020-07-26 21:54,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),193000
2020-07-26 21:57,Doja Cat,Bottom Bitch,2011
2020-07-26 21:57,Fieh,Flower,186026
2020-07-26 21:59,Ariana Grande,make up,140693
2020-07-26 22:03,Cage The Elephant,Cigarette Daydreams,208760
2020-07-26 22:03,Mac DeMarco,Boe Zaah,7714
2020-07-26 22:03,Alina Baraz,Frank,2786
2020-07-26 22:07,Mariah Carey,Emotions,248093
2020-07-26 22:10,Adventure Time,Island Song (Come Along with Me) [feat. Ashley Eriksson],2743
2020-07-26 22:10,Billie Eilish,lovely (with Khalid),200185
2020-07-26 22:14,Little Big Town,Girl Crush,193320
2020-07-26 23:04,Cage The Elephant,Trouble,225973
2020-07-26 23:08,Alina Baraz,Electric (feat. Khalid),246327
2020-07-26 23:13,Ariana Grande,Almost Is Never Enough,327773
2020-07-26 23:13,Justin Hurwitz,The End,4457
2020-07-26 23:18,Hiatus Kaiyote,Nakamarra (feat. Q-Tip) (feat. Q-Tip),262617
2020-07-27 03:59,Sample Rain Library,Dark Rain Sound,218049
2020-07-27 04:02,Rain Sounds Factory STHLM,Rain Sound : Dark Sky,202000
2020-07-27 04:06,Rain Sounds ACE,Moderate Rain,190157
2020-07-27 04:09,Rain Hard,Lush Rain,204750
2020-07-27 04:14,Natural Sample Makers,Rain Gutter,299531
2020-07-27 04:19,Epic Soundscapes,Heavy Rain & Gentle Thunder,291998
2020-07-27 04:21,The Sleep Helpers,Rain In The Bay,147114
2020-07-27 04:23,Thunderstorm,Rain Downpour,114678
2020-07-27 04:25,Rain Sounds,Awakening Rain,130901
2020-07-27 04:27,Nature Recordings,Wind and Rain,83433
2020-07-27 04:29,Rain Sound Studio,Calmness Rain Sound,124128
2020-07-27 04:33,Sample Rain Library,Ambiente Lluvia,257433
2020-07-27 04:36,Rain Sounds For Sleep,Sleep Well Rain Sound,144727
2020-07-27 04:38,Thunderstorm Sound Bank,Thunderstorm By The Waterfall,133412
2020-07-27 04:42,Wonderful Escape,Thunder From Under the Tree,231594
2020-07-27 04:48,Mother Nature Sound FX,Florida Rain Storm,175313
2020-07-27 04:51,Natural Sound Selections,Lluvia Eterna,222727
2020-07-27 04:55,Rain Recorders,Rainy Alley,205811
2020-07-27 04:59,Ambiworld,Earthy Rain With Rolling Thunder,262478
2020-07-27 05:02,Yùhé 愈合,Power and Meditation,179938
2020-07-27 05:06,The Sleep Helpers,Stormy Rain Sound,201132
2020-07-27 05:09,Thunderstorm Sound Bank,Rain & Thunder,188315
2020-07-27 05:10,Sounds Of Rain & Thunder Storms,Storm Rain Sounds,70687
2020-07-27 05:14,Mother Nature Sound FX,Thunderstorm In The Cabin,225211
2020-07-27 05:17,Deep Rain Sampling,Warm Forest Rain,232275
2020-07-27 05:20,Sounds of Nature Noise,Soft Thunder,179186
2020-07-27 05:23,Rain Storm Sample Library,Serenity Rain,177021
2020-07-27 05:26,Sampling XL,Spirit Body Rain Fall,161205
2020-07-27 05:29,Rain Recordings,Forest Rain,170000
2020-07-27 05:32,Hi Freq Samples,Heavy Rain,163176
2020-07-27 05:35,Rain Sounds,Quiet Rain Clouds,213683
2020-07-27 05:38,Sample Rain Library,Cozy Rain,158655
2020-07-27 05:40,Naturaleza FX,Colors of the Rain,150878
2020-07-27 05:43,Rain Sound Studio,Under Shelter Rain,174660
2020-07-27 05:47,Lluvia PQ,Rain All Night,207706
2020-07-27 05:50,Ambiworld,Pouring Rain - Striking Thunder,212880
2020-07-27 05:54,Shaman,Northern Thunder,227750
2020-07-27 05:58,Rain Sounds Factory STHLM,Rain Sound : Night Time,199798
2020-07-27 06:00,Rain Sounds Factory STHLM,Rain Sound : Sunday Dreaming,170614
2020-07-27 06:03,Yùhé 愈合,11 Hz Alpha Wave Surrounded by Rain & Thunder,182400
2020-07-27 06:07,Sky Fall SF,Rain Sounds: Raining,209937
2020-07-27 06:11,Rain Storm Sample Library,Sleep Easy Rain,229347
2020-07-27 06:13,Weather Factory,Forest Thunderstorm,150443
